City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,bucerias,20.75,-105.3333,31.1,72,2,4.35,MX,1698703271
282,kodiak,57.79,-152.4072,7.73,93,100,5.66,US,1698702824
283,puan,35.7281,126.7319,11.94,79,3,1.45,KR,1698703401
284,lhasa,29.65,91.1,1.91,79,71,1.51,CN,1698703402
285,weyburn,49.6668,-103.8511,-5.88,53,66,11.32,CA,1698703304
286,greenville,35.6127,-77.3663,27.02,52,0,3.6,US,1698702876
287,paracuru,-3.41,-39.0306,27.28,76,96,5.4,BR,1698703194
288,sinop,41.7711,34.8709,16.08,71,92,3.63,TR,1698702821
289,vorkuta,67.5,64.0,-11.26,86,100,3.59,RU,1698703405
290,linqiong,30.4159,103.4609,16.9,89,96,0.37,CN,1698703406
291,padre paraiso,-17.0742,-41.4844,25.17,48,90,1.8,BR,1698703406
292,kyakhta,50.3508,106.4494,-6.29,64,51,1.97,RU,1698703408
293,vadso,70.0744,29.7487,-0.91,86,75,1.54,NO,1698702737
294,mkushi,-13.6202,29.3939,19.41,81,52,3.57,ZM,1698703409
295,general levalle,-34.0147,-63.9241,17.57,34,88,2.84,AR,1698703410
296,yermentau,51.6214,73.1069,5.47,84,100,5.5,KZ,1698703411
297,hamilton,39.1834,-84.5333,8.14,82,100,5.14,US,1698702716
298,ramnagar,29.4,79.1167,18.25,63,82,2.09,IN,1698703413
299,villa yapacani,-17.4,-63.8333,32.56,45,79,2.96,BO,1698703413
300,welkom,-27.9864,26.7066,7.42,71,100,7.04,ZA,1698703414
301,tarko-sale,64.9225,77.785,-13.83,95,9,1.59,RU,1698703415
302,salaqi,40.5414,110.5108,9.77,41,39,2.16,CN,1698703416
303,rongelap,11.1635,166.8941,28.54,78,95,9.45,MH,1698702829
304,sirte,31.2089,16.5887,22.53,75,49,5.43,LY,1698703417
305,la ronge,55.1001,-105.2842,-5.86,53,75,4.63,CA,1698703228
306,hirara,24.8,125.2833,24.15,73,40,6.17,JP,1698703419
307,honiara,-9.4333,159.95,27.76,81,100,5.53,SB,1698703419
308,merizo village,13.2658,144.6691,29.21,95,98,6.09,GU,1698703420
309,mitsamiouli,-11.3847,43.2844,26.48,78,47,2.68,KM,1698702839
310,santa maria,-29.6842,-53.8069,26.61,61,40,2.06,BR,1698703288
311,chibougamau,49.9168,-74.3659,-3.21,80,75,3.6,CA,1698702892
312,nouadhibou,20.931,-17.0347,20.99,94,0,6.17,MR,1698703422
313,intendente alvear,-35.2338,-63.592,16.91,23,90,3.65,AR,1698703423
314,taperoa,-7.2075,-36.8267,30.01,27,14,5.3,BR,1698703424
315,vilyuysk,63.7553,121.6247,-18.18,100,94,1.29,RU,1698702879
